Commentary,Players,Teams,Sentiment,Confidence,Play Type
short of a length and some shape into off stump. Allows it come on and dabs with soft hands in front of point,"['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",POSITIVE,0.912,no run
"length on leg stump, stays back and clips it through square leg off the back foot","['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.781,run
"full and just outside off, no swing back this time, just angle. Watches it carefully and taps to point on the front foot","['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",POSITIVE,0.901,no run
good length inswinger starts on leg and curves further down. Early exercise for Bairstow,"['James Anderson', 'Shikhar Dhawan', 'Bairstow']","['India', 'England total runs']",POSITIVE,0.964,no run
"short of a length and slanting across the corridor, left alone","['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.999,no run
"short of a length and angled across off, left alone","['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.993,no run
some wobble for Broad outside off. Good length and skidding through nicely just outside off. Left alone,"['KL Rahul', 'Broad', 'Stuart Broad']","['India', 'England total runs']",NEGATIVE,0.864,no run
short of a length and just outside off. Left alone,"['KL Rahul', 'Stuart Broad']","['India', 'England total runs']",NEGATIVE,0.999,no run
"short of a length on off stump, defended off the back foot","['KL Rahul', 'Stuart Broad']","['India', 'England total runs']",NEGATIVE,0.899,no run
"beats him. That's a great line, he's hit it consistently. Just outside off, draws him forward for the angle and gets it to cut past the outside edge","['KL Rahul', 'Stuart Broad']","['India', 'England total runs']",POSITIVE,0.999,no run
"short and wide outside off, left alone","['KL Rahul', 'Stuart Broad']","['India', 'England total runs']",NEGATIVE,0.987,no run
"length and in at off stump, drops it into the pitch with a closed face","['KL Rahul', 'Stuart Broad']","['India', 'England total runs']",POSITIVE,0.959,no run
"length ball slanted across the corridor, left alone","['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.999,no run
"short of a length and wide outside off, left alone","['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.998,no run
"length ball angled across off, stays in the crease and brings the bat down tentatively. It runs to midwicket off the inside edge","['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",POSITIVE,0.955,no run
"length ball and pushed across off stump, left alone","['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.994,no run
inwinger from Anderson. The old set up. But doesn't get the line right once again. Starts on middle and swings into the pad. Dhawan can't get bat on this attempted glance but India get the run off his thigh,"['James Anderson', 'Shikhar Dhawan', 'Dhawan', 'Anderson']","['India', 'England total runs']",POSITIVE,0.857,leg bye
"short of a length in the corridor, left alone","['KL Rahul', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.999,no run
"outswinger short and wide outside off, left alone","['Stuart Broad', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.985,no run
"short of a length wide outside off, no shape away this time Left alone","['Stuart Broad', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.996,no run
"length ball with some shape away, defended into the off side off the front foot","['Stuart Broad', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.857,no run
"past the outside edge. That was close. His instinct is to play at the best of times, let alone when Broad forces him with the angle from around the wicket. This swings late and his jab against the rising ball in the corridor looks loose","['Stuart Broad', 'Shikhar Dhawan', 'Broad']","['India', 'England total runs']",NEGATIVE,0.998,no run
"short of a length and swinging away outside off, left alone","['Stuart Broad', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.987,no run
beaten on the inside edge this time! Superb from Broad. Dhawan has been beaten on both edges from the same line. This one slants back in and he's in two minds. Preparing to leave but it comes back in,"['Shikhar Dhawan', 'Stuart Broad', 'Superb', 'Broad', 'Dhawan']","['India', 'England total runs']",POSITIVE,0.992,no run
"full on leg stump, tapped into the leg side with soft hands","['KL Rahul', 'James Anderson']","['India', 'England total runs']",POSITIVE,0.98,run
"beaten on the outside edge. Length ball pushed across off stump, jabs at it and can't get connection on it","['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.997,no run
"length ball. Inswinger, into the pads. Easy for Dhawan. Allows it to come on and dabs it fine","['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",POSITIVE,0.998,four
"length ball wide outside off, left alone","['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.923,no run
"length on of stump, blocked on the front foot","['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.989,no run
thick edge over the slips. Short of a length and cramping him just outside off with some shape away. He slashes at it and gets it to clear fourth slip,"['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.852,four
"leans in nicely and transfers his weight into it. Tad away from the body as he drives this outswinger, but he played it late and opened the face at the right time. Stokes gives chase but he's beaten","['KL Rahul', 'Stuart Broad']","['India', 'England total runs']",POSITIVE,0.957,four
"short of a length on off stump, gets deep in the crease and taps it with soft hands in front of mid off","['KL Rahul', 'Stuart Broad']","['India', 'England total runs']",POSITIVE,0.965,run
"length ball swinging away wide outside off, left alone","['Stuart Broad', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.748,no run
"short of a length just outside off, pokes it into the off side off the back foot","['Stuart Broad', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.941,no run
"full outswinger, wide outside off. Left alone","['Stuart Broad', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.992,no run
"length ball just outside off, pushed into the leg side off the back foot. An exaggerated shuffle from Dhawan there. Trying to get behind the line that had him in trouble last time he faced Broad","['Stuart Broad', 'Shikhar Dhawan', 'Broad']","['India', 'England total runs']",NEGATIVE,0.973,no run
length ball swung away from the corridor. Left alone on the back foot,"['KL Rahul', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.995,no run
climbs past the outside edge. Looks to defend this outswinger on the back foot but he's not behind the line,"['KL Rahul', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.728,no run
"short of a length outside off, left alone","['KL Rahul', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.997,no run
"wide of the crease but can't get the batsman to play on the angle. It's too short and too wide. Swings away, left alone","['KL Rahul', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.997,no run
"back close to the crease, but still a tad too wide. Short of a length and swung away, left alone","['KL Rahul', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.997,no run
beaten. Lovely away curving ball from off. Gets forward to defend and is done by the movement,"['KL Rahul', 'James Anderson']","['India', 'England total runs']",POSITIVE,0.999,no run
short of a length and slanted into the corridor. Left alone,"['Stuart Broad', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.999,no run
"length ball swinging away, wide outside off, left alone","['Stuart Broad', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.81,no run
"withdraws the bat and lets it go. Outswinger from a length, wide outside off","['Stuart Broad', 'Shikhar Dhawan']","['India', 'England total runs']",POSITIVE,0.933,no run
"shuffles and whips to fine leg. No fielder there, he's at deep backward square. This angles in and Dhawan is there early. On his toes and quick hands to get it down there","['Stuart Broad', 'Shikhar Dhawan']","['India', 'England total runs']",POSITIVE,0.91,four
"short of a length just outside off, defended into the off side off the back foot","['Stuart Broad', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.943,no run
"squeezes one to the fine leg boundary again. Shuffles and nearly gets caught out with the front leg coming across off stump, but he manages to get bat in time","['Stuart Broad', 'Shikhar Dhawan']","['India', 'England total runs']",POSITIVE,0.968,four
"full outswinger outside off, left alone","['KL Rahul', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.994,no run
"short and wide outside off, left alone","['KL Rahul', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.987,no run
"short of a length on off stump, defended solidly off the back foot","['KL Rahul', 'James Anderson']","['India', 'England total runs']",POSITIVE,0.975,no run
"short of a length and wide outside off, left alone","['KL Rahul', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.998,no run
"short of a length and in at leg stump, pushed into the leg side with soft hands to steal a single from mid on","['KL Rahul', 'James Anderson']","['India', 'England total runs']",POSITIVE,0.786,run
"short of a length and wide outside off, left alone","['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.998,no run
"drags this from way outside off with a pull. Peculiar shot. Short and wide, there for the hammering through cover. He rolls his wrists and gets it down to deep backward square","['KL Rahul', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.992,run
whack. Short and wide outside off and Dhawan stands tall and slaps it to the cover boundary,"['Shikhar Dhawan', 'Ben Stokes', 'Dhawan']","['India', 'England total runs']",POSITIVE,0.99,four
"short of a length on leg stump, deflected into the square leg region off the thigh guard","['Shikhar Dhawan', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.938,leg bye
short of a length and in at off stump. Defended off the back foot,"['KL Rahul', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.916,no run
"length ball in at off stump, solidly forward and smart to play with soft hands. Gets a single at cover","['KL Rahul', 'Ben Stokes']","['India', 'England total runs']",POSITIVE,1.0,run
"short of a length in the corridor, defended into the covers with soft hands","['Shikhar Dhawan', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.977,run
length ball with marginal shape away in the corridor. Defended on the front foot,"['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.992,no run
jags back as he looks to leave this. He's withdrawn the bat behind his front pad. The ball has run into the slips off the face,"['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.997,no run
"short and wide outside off, left alone","['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.987,no run
"length ball angled in at middle stump, poked in front of square leg off the front foot","['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.954,no run
"short of a length in the corridor, pushed to cover off the back foot","['James Anderson', 'Shikhar Dhawan']","['India', 'England total runs']",NEGATIVE,0.997,run
"length ball swung away outside off, left alone","['KL Rahul', 'James Anderson', 'ball swung']","['India', 'England total runs']",NEGATIVE,0.963,no run
"length ball wide outside off, plants the front leg forward and hides the bat behind it to allow this to go","['Shikhar Dhawan', 'Ben Stokes']","['India', 'England total runs']",POSITIVE,0.988,no run
short and very wide outside off. Stays tall and crunches it through extra cover. That's come on very very slowly,"['Shikhar Dhawan', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.921,four
"length ball wide outside off, left alone","['Shikhar Dhawan', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.923,no run
"short of a length and wide outside off, left alone","['Shikhar Dhawan', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.998,no run
"length and just outside off. Jabs at it on the front foot, gets it wide of mid on off the inside half","['Shikhar Dhawan', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.959,run
short of a length and angled into him. Gets an inside edge onto front thigh as he looks to defend. Dhawan calls for the run and beats Stokes on the sprint,"['KL Rahul', 'Ben Stokes', 'Dhawan']","['India', 'England total runs']",POSITIVE,0.997,run
full outswinger that starts from middle. Keeps his shape and allows it to swing before offering the full face,"['KL Rahul', 'James Anderson']","['India', 'England total runs']",POSITIVE,0.995,no run
"short and outside off, nicely behind for the cut. Finds backward point on the bounce","['KL Rahul', 'James Anderson']","['India', 'England total runs']",POSITIVE,0.999,no run
"short and wide outside off, left alone","['KL Rahul', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.987,no run
"short and very wide outside off, left alone","['KL Rahul', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.978,no run
"length ball swung away wide outside off, left alone","['KL Rahul', 'James Anderson', 'ball swung']","['India', 'England total runs']",NEGATIVE,0.668,no run
"short of a length with shape away in the corridor, left alone","['KL Rahul', 'James Anderson']","['India', 'England total runs']",NEGATIVE,0.999,no run
beaten on the inside edge as he leans in to try and flick this length ball from off stump,"['Shikhar Dhawan', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.917,no run
"short and shaping away outside off, opens the face and runs it to backward point","['Shikhar Dhawan', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.991,no run
inswinger but a little too short to trouble him. Manages to get glove on it and turn it behind square leg from a length,"['Shikhar Dhawan', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.815,run
"good length inswinger from wide outside off, defended solidly on the front foot","['KL Rahul', 'Ben Stokes']","['India', 'England total runs']",POSITIVE,0.999,no run
"another big inswinger. Into the pads from back of a length, he defends solidly towards midwicket","['KL Rahul', 'Ben Stokes']","['India', 'England total runs']",POSITIVE,0.996,no run
"overpitched outswinger, very wide outside off. Left alone","['KL Rahul', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.996,no run
"short of a length on off stump, defended off the back foot","['Shikhar Dhawan', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.899,no run
past the outside edge. Short of a length and angled across the corridor. Hangs his bat outside and is beaten,"['Shikhar Dhawan', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,1.0,no run
"short and slanted wide outside off, hangs the bat inside the line and lets it pass","['Shikhar Dhawan', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.975,no run
length and onto the pads. Tickled to fine leg off the back foot,"['Shikhar Dhawan', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.983,run
"swipes and misses. Loose attempt at a cut. Short ball outside off keeps a touch low, but it was a nervous shot","['KL Rahul', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.821,no run
"length ball outside off, gets forward to cover off stump and leaves","['KL Rahul', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.986,no run
"fuller than a good length and simply floats through outside off, Dhawan doesn't bite yet. Left alone","['Shikhar Dhawan', 'Ben Stokes', 'Dhawan']","['India', 'England total runs']",NEGATIVE,0.718,no run
"Stokes draws the outside edge but it does not carry to third slip. Good length and slanting away outside off against the angle, Dhawan employs soft hands and prods it to the left of third slip","['Shikhar Dhawan', 'Ben Stokes']","['India', 'England total runs']",POSITIVE,0.924,no run
back of a length on a set of stumps outside off or even wider Dhawan shelves the big drive and lets it go again,"['Shikhar Dhawan', 'Ben Stokes', 'Dhawan']","['India', 'England total runs']",POSITIVE,0.662,no run
"short, wide, outside off, begging on its knees to be clattered away. Dhawan obliges, rocks back and cuts it to the right of a diving short cover","['Shikhar Dhawan', 'Ben Stokes']","['India', 'England total runs']",NEGATIVE,0.754,four
"pitched further up and outside off, Dhawan presses forward and drives through the line to mid off","['Shikhar Dhawan', 'Ben Stokes']","['India', 'England total runs']",POSITIVE,0.999,no run
"back of a length and shoved down leg, Dhawan aims a pull and collects only fresh air","['Shikhar Dhawan', 'Ben Stokes', 'Dhawan']","['India', 'England total runs']",NEGATIVE,0.967,no run
"delicious drive from Rahul. Pitched up and swinging away outside off, Rahul leans into it, shows off his high elbow, and creams a drive through the covers","['KL Rahul', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.999,four
"full and angling in at off, shapes away slightly, Rahul pokes and edges it past the cordon for four","['KL Rahul', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.82,four
"back of a length on a fifth stump line outside off, Rahul shoulders arms","['KL Rahul', 'Chris Woakes']","['India', 'England total runs']",NEGATIVE,0.921,no run
"wide of the crease, full and angling into the pads, inside edged to square leg","['KL Rahul', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.955,run
"back of a length on middle and leg, tucks up Dhawan for room. He sits back and jabs the ball away to the leg side","['Shikhar Dhawan', 'Chris Woakes']","['India', 'England total runs']",POSITIVE,0.936,no run
